order_details_id,pizza_id,quantity,date,time,size,price,name,category,ingredients,Sales,Sales_day,Month
13,spinach_supr_s,1,2015-01-01,0 days 13:11:55,S,12.5,The Spinach Supreme Pizza,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",12.5,Thursday,January
14,spinach_supr_s,1,2015-01-01,0 days 13:14:19,S,12.5,The Spinach Supreme Pizza,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",12.5,Thursday,January
15,classic_dlx_s,1,2015-01-01,0 days 13:33:00,S,12.0,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",12.0,Thursday,January
16,green_garden_s,1,2015-01-01,0 days 13:34:07,S,12.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",12.0,Thursday,January
17,ital_cpcllo_l,1,2015-01-01,0 days 13:53:00,L,20.5,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",20.5,Thursday,January
18,ital_supr_l,1,2015-01-01,0 days 13:57:08,L,20.75,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",20.75,Thursday,January
19,ital_supr_s,1,2015-01-01,0 days 13:59:09,S,12.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",12.5,Thursday,January
20,mexicana_s,1,2015-01-01,0 days 14:03:08,S,12.0,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",12.0,Thursday,January
21,spicy_ital_l,1,2015-01-01,0 days 14:14:29,L,20.75,The Spicy Italian Pizza,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",20.75,Thursday,January
22,spin_pesto_l,1,2015-01-01,0 days 14:16:26,L,20.75,The Spinach Pesto Pizza,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",20.75,Thursday,January
23,veggie_veg_s,1,2015-01-01,0 days 14:19:03,S,12.0,The Vegetables + Vegetables Pizza,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",12.0,Thursday,January
24,mexicana_l,1,2015-01-01,0 days 14:23:01,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Thursday,January
25,southw_ckn_l,1,2015-01-01,0 days 14:44:44,L,20.75,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",20.75,Thursday,January
26,bbq_ckn_l,1,2015-01-01,0 days 14:54:26,L,20.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",20.75,Thursday,January
27,cali_ckn_l,1,2015-01-01,0 days 15:11:17,L,20.75,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",20.75,Thursday,January
28,cali_ckn_m,1,2015-01-01,0 days 15:35:46,M,16.75,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",16.75,Thursday,January
29,pepperoni_l,1,2015-01-01,0 days 15:41:01,L,15.25,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",15.25,Thursday,January
30,cali_ckn_l,1,2015-01-01,0 days 15:41:25,L,20.75,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",20.75,Thursday,January
31,cali_ckn_s,1,2015-01-01,0 days 15:50:18,S,12.75,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",12.75,Thursday,January
32,ckn_pesto_l,1,2015-01-01,0 days 15:53:18,L,20.75,The Chicken Pesto Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",20.75,Thursday,January
33,ital_supr_m,1,2015-01-01,0 days 15:54:08,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Thursday,January
34,mexicana_l,1,2015-01-01,0 days 16:21:21,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Thursday,January
35,the_greek_s,1,2015-01-01,0 days 16:32:04,S,12.0,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",12.0,Thursday,January
36,big_meat_s,1,2015-01-01,0 days 16:54:09,S,12.0,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",12.0,Thursday,January
37,five_cheese_l,1,2015-01-01,0 days 16:56:09,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Thursday,January
38,soppressata_l,1,2015-01-01,0 days 17:03:00,L,20.75,The Soppressata Pizza,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",20.75,Thursday,January
39,the_greek_s,1,2015-01-01,0 days 17:07:23,S,12.0,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",12.0,Thursday,January
40,four_cheese_l,1,2015-01-01,0 days 17:14:36,L,17.95,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",17.95,Thursday,January
41,napolitana_s,1,2015-01-01,0 days 17:15:20,S,12.0,The Napolitana Pizza,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",12.0,Thursday,January
42,thai_ckn_l,1,2015-01-01,0 days 17:28:09,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",20.75,Thursday,January
43,bbq_ckn_l,1,2015-01-01,0 days 17:38:34,L,20.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",20.75,Thursday,January
44,calabrese_m,1,2015-01-01,0 days 17:54:20,M,16.25,The Calabrese Pizza,Supreme,"Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",16.25,Thursday,January
45,five_cheese_l,1,2015-01-01,0 days 17:55:48,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Thursday,January
46,four_cheese_m,1,2015-01-01,0 days 18:25:51,M,14.75,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",14.75,Thursday,January
47,ital_supr_m,1,2015-01-01,0 days 18:26:34,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Thursday,January
48,ital_veggie_s,1,2015-01-01,0 days 18:26:42,S,12.75,The Italian Vegetables Pizza,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",12.75,Thursday,January
49,mediterraneo_m,2,2015-01-01,0 days 18:33:00,M,16.0,The Mediterranean Pizza,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",32.0,Thursday,January
50,mexicana_l,1,2015-01-01,0 days 18:41:01,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Thursday,January
51,peppr_salami_s,1,2015-01-01,0 days 18:48:28,S,12.5,The Pepper Salami Pizza,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",12.5,Thursday,January
52,spinach_fet_l,1,2015-01-01,0 days 18:53:02,L,20.25,The Spinach and Feta Pizza,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",20.25,Thursday,January
53,napolitana_l,1,2015-01-01,0 days 18:54:17,L,20.5,The Napolitana Pizza,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",20.5,Thursday,January
54,ital_cpcllo_l,1,2015-01-01,0 days 19:01:45,L,20.5,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",20.5,Thursday,January
55,sicilian_l,1,2015-01-01,0 days 19:03:19,L,20.25,The Sicilian Pizza,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",20.25,Thursday,January
56,big_meat_s,1,2015-01-01,0 days 19:07:00,S,12.0,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",12.0,Thursday,January
57,five_cheese_l,1,2015-01-01,0 days 19:10:51,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Thursday,January
58,ital_cpcllo_l,1,2015-01-01,0 days 19:30:40,L,20.5,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",20.5,Thursday,January
59,five_cheese_l,1,2015-01-01,0 days 19:40:08,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Thursday,January
60,ital_cpcllo_m,1,2015-01-01,0 days 20:05:16,M,16.0,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",16.0,Thursday,January
61,southw_ckn_l,1,2015-01-01,0 days 20:08:43,L,20.75,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",20.75,Thursday,January
62,southw_ckn_s,1,2015-01-01,0 days 20:50:16,S,12.75,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",12.75,Thursday,January
63,bbq_ckn_m,1,2015-01-01,0 days 20:51:42,M,16.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",16.75,Thursday,January
64,ital_cpcllo_m,1,2015-01-01,0 days 20:52:08,M,16.0,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",16.0,Thursday,January
65,pepperoni_m,1,2015-01-01,0 days 21:16:00,M,12.5,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",12.5,Thursday,January
66,prsc_argla_s,1,2015-01-01,0 days 21:47:55,S,12.5,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",12.5,Thursday,January
67,sicilian_m,1,2015-01-01,0 days 22:03:40,M,16.25,The Sicilian Pizza,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",16.25,Thursday,January
68,thai_ckn_l,1,2015-01-01,0 days 22:07:32,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",20.75,Thursday,January
69,classic_dlx_s,1,2015-01-01,0 days 22:12:13,S,12.0,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",12.0,Thursday,January
70,veggie_veg_l,1,2015-01-02,0 days 11:38:51,L,20.25,The Vegetables + Vegetables Pizza,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",20.25,Friday,January
71,bbq_ckn_l,1,2015-01-02,0 days 11:40:50,L,20.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",20.75,Friday,January
72,classic_dlx_m,1,2015-01-02,0 days 11:57:25,M,16.0,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",16.0,Friday,January
73,spinach_fet_l,1,2015-01-02,0 days 11:58:56,L,20.25,The Spinach and Feta Pizza,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",20.25,Friday,January
74,ckn_alfredo_s,1,2015-01-02,0 days 12:01:12,S,12.75,The Chicken Alfredo Pizza,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",12.75,Friday,January
75,green_garden_s,1,2015-01-02,0 days 12:10:15,S,12.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",12.0,Friday,January
76,thai_ckn_l,1,2015-01-02,0 days 12:21:17,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",20.75,Friday,January
77,mexicana_m,1,2015-01-02,0 days 12:22:46,M,16.0,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",16.0,Friday,January
78,pepperoni_s,1,2015-01-02,0 days 12:28:14,S,9.75,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",9.75,Friday,January
79,big_meat_s,1,2015-01-02,0 days 12:29:11,S,12.0,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",12.0,Friday,January
80,green_garden_l,1,2015-01-02,0 days 12:35:38,L,20.25,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",20.25,Friday,January
81,ital_cpcllo_l,1,2015-01-02,0 days 12:40:01,L,20.5,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",20.5,Friday,January
82,ital_supr_m,1,2015-01-02,0 days 12:45:51,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Friday,January
83,bbq_ckn_l,1,2015-01-02,0 days 12:53:27,L,20.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",20.75,Friday,January
84,green_garden_s,1,2015-01-02,0 days 13:13:41,S,12.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",12.0,Friday,January
85,the_greek_s,1,2015-01-02,0 days 13:34:49,S,12.0,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",12.0,Friday,January
86,green_garden_m,1,2015-01-02,0 days 13:40:31,M,16.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",16.0,Friday,January
87,pep_msh_pep_l,1,2015-01-02,0 days 14:01:02,L,17.5,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers",17.5,Friday,January
88,pepperoni_m,1,2015-01-02,0 days 14:10:08,M,12.5,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",12.5,Friday,January
89,thai_ckn_l,1,2015-01-02,0 days 14:30:19,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",20.75,Friday,January
90,bbq_ckn_m,1,2015-01-02,0 days 15:08:48,M,16.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",16.75,Friday,January
91,classic_dlx_m,1,2015-01-02,0 days 15:14:43,M,16.0,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",16.0,Friday,January
92,ital_supr_l,1,2015-01-02,0 days 15:17:02,L,20.75,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",20.75,Friday,January
93,mexicana_l,1,2015-01-02,0 days 15:29:31,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Friday,January
94,hawaiian_s,1,2015-01-02,0 days 16:17:16,S,10.5,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",10.5,Friday,January
95,ital_cpcllo_l,1,2015-01-02,0 days 16:18:04,L,20.5,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",20.5,Friday,January
96,ital_supr_l,1,2015-01-02,0 days 16:21:20,L,20.75,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",20.75,Friday,January
97,four_cheese_l,1,2015-01-02,0 days 16:45:33,L,17.95,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",17.95,Friday,January
98,southw_ckn_s,1,2015-01-02,0 days 17:18:18,S,12.75,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",12.75,Friday,January
99,four_cheese_m,1,2015-01-02,0 days 17:45:42,M,14.75,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",14.75,Friday,January
100,green_garden_s,1,2015-01-02,0 days 17:46:17,S,12.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",12.0,Friday,January
101,big_meat_s,1,2015-01-02,0 days 17:51:33,S,12.0,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",12.0,Friday,January
102,five_cheese_l,1,2015-01-02,0 days 17:54:04,L,18.5,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",18.5,Friday,January
103,mexicana_l,1,2015-01-02,0 days 18:02:09,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Friday,January
104,peppr_salami_m,1,2015-01-02,0 days 18:02:12,M,16.5,The Pepper Salami Pizza,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",16.5,Friday,January
105,ckn_alfredo_m,1,2015-01-02,0 days 18:12:01,M,16.75,The Chicken Alfredo Pizza,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",16.75,Friday,January
106,ital_supr_m,1,2015-01-02,0 days 18:12:13,M,16.5,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",16.5,Friday,January
107,peppr_salami_l,1,2015-01-02,0 days 18:25:09,L,20.75,The Pepper Salami Pizza,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",20.75,Friday,January
108,spin_pesto_s,1,2015-01-02,0 days 18:25:25,S,12.5,The Spinach Pesto Pizza,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",12.5,Friday,January
109,four_cheese_l,1,2015-01-02,0 days 18:27:50,L,17.95,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",17.95,Friday,January
110,hawaiian_s,1,2015-01-02,0 days 18:36:19,S,10.5,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",10.5,Friday,January
111,thai_ckn_m,1,2015-01-02,0 days 18:38:01,M,16.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",16.75,Friday,January
112,ckn_pesto_l,1,2015-01-02,0 days 18:41:40,L,20.75,The Chicken Pesto Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",20.75,Friday,January
113,classic_dlx_l,1,2015-01-02,0 days 18:50:21,L,20.5,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",20.5,Friday,January
114,thai_ckn_m,1,2015-01-02,0 days 18:59:32,M,16.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",16.75,Friday,January
115,southw_ckn_l,1,2015-01-02,0 days 19:05:17,L,20.75,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",20.75,Friday,January
116,veggie_veg_s,1,2015-01-02,0 days 19:18:49,S,12.0,The Vegetables + Vegetables Pizza,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",12.0,Friday,January
117,ckn_pesto_m,1,2015-01-02,0 days 19:23:02,M,16.75,The Chicken Pesto Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",16.75,Friday,January
118,green_garden_s,1,2015-01-02,0 days 19:26:59,S,12.0,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",12.0,Friday,January
119,prsc_argla_l,1,2015-01-02,0 days 19:32:29,L,20.75,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",20.75,Friday,January
120,spicy_ital_l,1,2015-01-02,0 days 19:35:07,L,20.75,The Spicy Italian Pizza,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",20.75,Friday,January
121,sicilian_l,1,2015-01-02,0 days 19:38:48,L,20.25,The Sicilian Pizza,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",20.25,Friday,January
122,the_greek_xl,1,2015-01-02,0 days 19:50:19,XL,25.5,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",25.5,Friday,January
123,bbq_ckn_l,1,2015-01-02,0 days 20:12:09,L,20.75,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",20.75,Friday,January
124,pep_msh_pep_l,1,2015-01-02,0 days 20:12:34,L,17.5,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers",17.5,Friday,January
125,hawaiian_l,1,2015-01-02,0 days 20:31:06,L,16.5,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",16.5,Friday,January
126,mexicana_l,1,2015-01-02,0 days 20:53:42,L,20.25,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",20.25,Friday,January
127,spicy_ital_l,1,2015-01-02,0 days 20:58:23,L,20.75,The Spicy Italian Pizza,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",20.75,Friday,January
128,pep_msh_pep_s,1,2015-01-02,0 days 21:05:06,S,11.0,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers",11.0,Friday,January
129,spinach_supr_m,1,2015-01-02,0 days 21:13:02,M,16.5,The Spinach Supreme Pizza,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",16.5,Friday,January
130,prsc_argla_m,1,2015-01-02,0 days 21:14:55,M,16.5,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",16.5,Friday,January
